t,Va,Vb
-0.0112799993,-2.5599999,-2.72000003
-0.0112599991,-2.5599999,-2.48
-0.011239999,-2.3999999,-2.48
-0.0112199988,-2.3999999,-2.3199999
-0.0111999987,-2.5599999,-2.3999999
-0.0111799985,-2.3999999,-2.5599999
-0.0111599993,-2.5599999,-2.3199999
-0.0111399991,-2.5599999,-2.3999999
-0.011119999,-2.5599999,-2.48
-0.0110999988,-2.48,-2.48
-0.0110799987,-2.48,-2.6399999
-0.0110599985,-2.3999999,-2.48
-0.0110399993,-2.3999999,-2.3999999
-0.0110199992,-2.3999999,-2.3199999
-0.010999999,-2.48,-2.3999999
-0.0109799989,-2.3999999,-2.48
-0.0109599987,-2.5599999,-2.3999999
-0.0109399986,-2.5599999,-2.3999999
-0.0109199993,-2.5599999,-2.6399999
-0.0108999992,-2.3999999,-2.5599999
-0.010879999,-2.48,-2.48
-0.0108599989,-2.48,-2.6399999
-0.0108399987,-2.48,-2.3999999
-0.0108199986,-2.5599999,-2.5599999
-0.0107999984,-2.5599999,-2.72000003
-0.0107799992,-2.5599999,-2.6399999
-0.010759999,-2.3999999,-2.24
-0.0107399989,-2.5599999,-2.3999999
-0.0107199987,-2.48,-2.72000003
-0.0106999986,-2.48,-2.48
-0.0106799984,-2.3999999,-2.6399999
-0.0106599992,-2.5599999,-2.3999999
-0.0106399991,-2.48,-2.3999999
-0.0106199989,-2.3999999,-2.3999999
-0.0105999988,-2.48,-2.5599999
-0.0105799986,-2.48,-2.72000003
-0.0105599985,-2.48,-2.6399999
-0.0105399992,-2.48,-2.79999995
-0.0105199991,-2.48,-2.3999999
-0.0104999989,-2.3999999,-2.5599999
-0.0104799988,-2.48,-2.72000003
-0.0104599986,-2.5599999,-2.48
-0.0104399985,-2.5599999,-2.3999999
-0.0104199992,-2.3999999,-2.3999999
-0.0103999991,-2.3999999,-2.5599999
-0.0103799989,-2.5599999,-2.3999999
-0.0103599988,-2.5599999,-2.3999999
-0.0103399986,-2.5599999,-2.48
-0.0103199985,-2.48,-2.3999999
-0.0102999993,-2.48,-2.5599999
-0.0102799991,-2.48,-2.79999995
-0.010259999,-2.5599999,-2.6399999
-0.0102399988,-2.48,-2.6399999
-0.0102199987,-2.48,-2.24
-0.0101999985,-2.48,-2.24
-0.0101799993,-2.48,-2.5599999
-0.0101599991,-2.5599999,-2.87999988
-0.010139999,-2.48,-2.48
-0.0101199988,-2.3999999,-2.5599999
-0.0100999987,-2.3999999,-2.48
-0.0100799985,-2.5599999,-2.48
-0.0100599993,-2.5599999,-2.3199999
-0.0100399991,-2.48,-2.3199999
-0.010019999,-2.48,-2.3999999
-0.009999998845,2.3199999,4.55999994
-0.009979998693,2.3199999,4
-0.009959998541,2.3199999,3.43999982
-0.00993999932,2.3999999,3.03999996
-0.009919999167,2.24,3.03999996
-0.009899999015,2.3199999,2.96000004
-0.009879998863,2.3999999,2.6399999
-0.00985999871,2.3999999,2.6399999
-0.009839998558,2.3199999,2.5599999
-0.009819999337,2.48,2.48
-0.009799999185,2.48,2.72000003
-0.009779999033,2.3999999,2.72000003
